ID,Levels,ParentID,CompanyID,Code,Name,Remark,IsMachineType,IsSpecs,speed,combCount,MachineWidth,factWidth,ALLPinCount,factPinCount,Power,HasSysDefine,HasDefault,HasUse,HasStop,Stoper,StopDate,StopMemo,HasCheck,Checker,CheckTime,Writer,WriteTime,Modifier,ModifyTime,RuleChildID,MachineKG,DayUrnCount,Coefficient,JBMachineType,ProgramID,DyeRate
1009024,0,1009,4,LRT71/1/36,LRT71/1/36,电脑带贾卡压纱24针机,0,1,510.0000,78,134.0000,134.0000,3216,3216,NULL,0,0,0,0,NULL,NULL,NULL,1,108468,2016-04-13 17:11:15.000,140100,2013-05-27 09:52:35.000,108468,2016-04-13 17:11:15.000,NULL,NULL,NULL,NULL,332543,467556,NULL
1009025,0,1009,4,LRJ65/1B,LRJ65/1B,65梳电脑贾卡花边机,0,1,810.0000,65,134.0000,134.0000,3216,3216,NULL,0,0,0,0,,NULL,,1,108468,2016-04-13 17:14:07.000,140100,2013-06-28 16:57:00.000,108468,2016-04-13 17:14:07.000,NULL,NULL,NULL,NULL,332543,472660,NULL
1009026,0,1009,4,JL85/1B,JL85/1B,85梳电脑贾卡花边机,0,1,860.0000,91,134.0000,134.0000,3216,3216,NULL,0,0,0,0,NULL,NULL,NULL,1,108468,2016-04-13 17:18:26.000,213427,2015-08-10 15:30:10.000,108468,2016-04-13 17:18:26.000,NULL,NULL,NULL,NULL,332543,472660,NULL
1009027,0,1009,4,外购布机型,外购布机型,NULL,0,0,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,0,NULL,NULL,108468,2016-10-14 10:55:24.000,NULL,NULL,NULL,NULL,NULL,NULL,332543,472660,NULL
1009027001,0,1009027,4,ML-28E,ML-28E,46梳不带贾卡花边机,0,1,500.0000,46,134.0000,134.0000,3752,3752,NULL,0,0,0,1,140100,NULL,不再使用,0,,NULL,140100,2017-03-09 14:38:03.000,140100,2017-04-13 15:01:52.000,NULL,NULL,NULL,NULL,332542,430250,NULL
1009027002,0,1009027,4,RSE4/1-28E,RSE4/1-28E,NULL,0,1,2200.0000,8,170.0000,170.0000,4760,4760,NULL,0,0,0,0,NULL,NULL,NULL,1,277493,2019-08-05 15:35:15.000,277493,2019-08-05 15:23:08.000,277493,2019-08-05 15:35:15.000,NULL,NULL,NULL,NULL,332543,472660,NULL
1009027003,0,1009027,4,RSE4/1-32E,RSE4/1-32E,NULL,0,1,2000.0000,8,170.0000,170.0000,5440,5440,NULL,0,0,0,0,NULL,NULL,NULL,1,277493,2019-08-05 15:35:16.000,277493,2019-08-05 15:32:22.000,277493,2019-08-05 15:35:16.000,NULL,NULL,NULL,NULL,332543,1213946,NULL
1009027004,0,1009027,4,RSJ4/1-28E,RSJ4/1-28E,NULL,0,1,1800.0000,8,130.0000,130.0000,3640,3640,NULL,0,0,0,0,NULL,NULL,NULL,1,277493,2019-08-05 15:35:18.000,277493,2019-08-05 15:33:18.000,277493,2019-08-05 15:35:18.000,NULL,NULL,NULL,NULL,332543,1213946,NULL
1009027005,0,1009027,4,RSJ5/1-28E,RSJ5/1-28E,NULL,0,1,1700.0000,8,130.0000,130.0000,3640,3640,NULL,0,0,0,0,NULL,NULL,NULL,1,277493,2019-08-05 15:35:20.000,277493,2019-08-05 15:34:38.000,277493,2019-08-05 15:35:20.000,NULL,NULL,NULL,NULL,332543,1213946,NULL
1009028,0,1009,4,JL85/1F,JL85/1F,85梳电脑贾卡花边机,0,1,800.0000,91,134.0000,134.0000,3216,3216,NULL,0,0,0,0,NULL,NULL,NULL,1,277493,2019-03-29 16:55:33.000,140100,2016-11-01 16:31:48.000,277493,2019-03-29 16:55:33.000,NULL,NULL,NULL,NULL,332543,472660,NULL
1009029,0,1009,4,ML41-28E,ML41-28E,46梳不带贾卡花边机,0,1,810.0000,41,134.0000,134.0000,3752,3752,NULL,0,0,0,0,NULL,NULL,NULL,0,,NULL,140100,2017-03-10 11:55:32.000,140100,2017-11-06 15:40:22.000,NULL,NULL,NULL,NULL,332542,430250,NULL
1009030,0,1009,4,ML-28E,ML-28E,NULL,0,1,500.0000,46,134.0000,134.0000,3752,3752,NULL,0,0,0,1,140100,NULL,不再使用,0,NULL,NULL,140100,2017-03-10 11:58:01.000,140100,2017-03-10 14:01:00.000,NULL,NULL,NULL,NULL,332542,430250,NULL
